English,Hungary
realize,észre
follow,kövesse
decide,dönt
kind,fajta
she's,ő az
grab,megragad
he'd,ő volt
show,megmutat
inside,belső
suddenly,hirtelen
father,apa
rest,pihenés
herself,önmaga
grin,vigyorog
hour,óra
hope,remény
also,is
body,test
might,hatalom
hadn't,nem volt
floor,emelet
its,annak
continue,folytassa
ran,futott
across,át
hold,tart
cry,kiáltás
half,fél
pretty,szép
great,nagy
course,pálya
mouth,száj
class,osztály
kid,kölyök
miss,hiányzik
wonder,csoda
morning,reggel
least,legkevésbé
nice,szép
dark,sötét
slowly,lassan
done,kész
change,változás
doesn't,nem
together,együtt
yet,még
question,kérdés
anyway,különben is
bad,rossz
blue,kék
believe,hisz
week,hét
God,Isten
lip,ajak
Mr.,úr
sleep,alvás
fine,finom
what's,mi az
family,család
many,sok
worry,aggodalom
roll,tekercs
parent,szülő
under,alatt
surprise,meglepetés
water,víz
onto,-ra
we're,mi vagyunk
glance,pillant
wall,fal
between,között
seen,látott
read,olvas
window,ablak
idea,ötlet
white,fehér
push,nyomja
feet,lábát
must,kell
such,ilyen
seat,ülés
set,készlet
please,Kérem
red,piros
brother,testvér
these,ezek
whole,egész
lean,sovány
part,rész
person,személy
slightly,némileg
pass,pass
shook,megrázta
fact,tény
wrong,rossz
gone,elmúlt
far,messze
hit,találat
finger,ujj
quite,egészen
hate,gyűlölet
meet,találkozik
finish,befejezni
heart,szív
book,könyv
past,elmúlt
kill,megöl
reason,ok
anyone,bárki
figure,ábra
top,tetejére
along,mentén
world,világ
she'd,fészer
high,magas
shirt,ing
does,nem
today,ma
young,fiatal
held,tartott
outside,kívül
listen,hallgat
whisper,suttogás
won't,szokás
happy,boldog
ground,föld
deep,mély
drop,csepp
shrug,vállat von
dress,ruha
fell,leesett
there's,ott van
yell,ordítás
breath,lehelet
air,levegő
tear,könny
sister,nővér
chair,szék
kitchen,konyha
matter,anyag
hurt,fáj
fall,esik
wear,viselet
isn't,nem
woman,nő
eat,eszik
lie,hazugság
hell,pokol
suppose,tegyük fel
cover,borító
couple,párosít
large,nagy
either,bármelyik
five,öt
leg,láb
jump,ugrás
die,meghal
return,visszatérés
able,képes
bag,táska
alone,kizárólag
shut,bezárva
stuff,dolog
short,rövid
ready,kész
understand,megérteni
kept,tartotta
plan,terv
raise,emel
street,utca
different,különböző
problem,probléma
break,szünet
line,vonal
early,korai
cut,vágott
cold,hideg
paper,papír
scream,sikoly
instead,helyette
stupid,hülye
silence,csend
tree,fa
caught,elkapták
ear,fül
food,élelmiszer
full,tele
four,négy
cause,ok
fuck,bassza meg
explain,megmagyarázni
expect,elvárják
fight,harc
exactly,pontosan
sort,fajta
completely,teljesen
men,férfiak
dance,tánc
met,találkozott
story,történet
whatever,bármi
build,épít
speak,beszél
glass,üveg
pain,fájdalom
check,ellenőrzés
glare,ragyogás
corner,sarok
Mrs.,asszony
chest,mellkas
hot,forró
rather,inkább
month,hónap
real,igazi
touch,érintés
park,park
bring,hozza
they're,ők
drink,ital
ago,ezelőtt
force,erő
you've,megvan
fast,gyors
lost,elveszett
attention,Figyelem
wish,kíván
mark,Mark
wave,hullám
shout,kiáltás
fill,töltse ki
begin,kezdődik
baby,baba
interest,kamat
money,pénz
fun,szórakoztató
green,zöld
however,viszont
cheek,arcát
mine,enyém
clear,világos
brown,barna
forward,előre
near,közel
picture,kép
may,május
cool,hűvös
drive,hajtás
hug,ölelni
shake,rázza meg
sense,érzék
alright,rendben van
you'll,fogsz
dream,álom
hang,lógni
clothes,ruházat
act,cselekedni
become,válik
manage,kezelni
meant,jelentett
game,játék
ignore,figyelmen kívül hagyni
stair,lépcsőfok
taken,vették
party,fél
add,add hozzá
sometimes,néha
job,munka
ten,tíz
shot,lövés
date,dátum
quiet,csendes
gaze,tekintete
group,csoport
loud,hangos
straight,egyenes
dead,halott
neck,nyak
beside,mellett
pause,szünet
number,szám
conversation,beszélgetés
chance,véletlen
we'll,jól
rose,rózsa
quietly,csendesen
town,város
blood,vér
color,szín
desk,íróasztal
dinner,vacsora
hall,terem
horse,ló
music,zene
brought,hozott
piece,darab
anymore,többé
beautiful,gyönyörű
order,rendelés
fire,Tűz
office,hivatal
TRUE,IGAZ
although,bár
warm,meleg
easy,könnyen
enter,lépj be
perfect,tökéletes
mutter,motyog
softly,halkan
cross,kereszt
shock,sokk
smirk,önelégült mosoly
damn,átkozott
soft,puha
stomach,gyomor
snap,csattan
spoke,küllő
tire,gumi
box,doboz
catch,fogás
skin,bőr
teacher,tanár
middle,középső
note,jegyzet
yourself,magad
haven't,még nem
lunch,ebéd
tomorrow,holnap
breathe,lélegzik
clean,tiszta
except,kivéve
appear,megjelenik
lock,zár
knock,kopogás
bathroom,fürdőszoba
movie,film
agree,egyetért
offer,ajánlat
kick,rúgás
form,forma
confuse,összezavarni
lay,világi
less,kevesebb
calm,nyugodt
slip,csúszás
weren't,nem voltak
sign,jel
dog,kutya
lift,lift
immediately,azonnal
arrive,megérkezik
deal,üzlet
tonight,ma este
usually,általában
case,ügy
frown,ráncolja a homlokát
shop,üzlet
scare,megijeszt
promise,ígéret
mum,mama
couch,kanapé
pay,fizetés
state,állami
shit,szar
wrap,betakar
pocket,zseb
hello,Helló
free,ingyenes
huge,hatalmas
ride,lovagol
bother,zavar
land,föld
known,ismert
especially,főleg
expression,kifejezés
carry,visz
ring,gyűrű
spot,folt
allow,engedje meg
several,számos
aren't,nem azok
during,alatt
empty,üres
lady,hölgy
eyebrow,szemöldök
strange,furcsa
coffee,kávé
road,út
threw,dobta
wide,széles
bus,busz
forget,felejtsd el
gotten,kapott
smell,szag
fear,félelem
press,sajtó
boyfriend,barát
blonde,szőke
throw,dobás
round,kerek
sun,nap
tall,magas
glad,boldog
age,kor
write,írj
upon,után
hide,elrejt
became,lett
crowd,tömeg
rain,eső
save,megtakarítás
trouble,baj
annoy,bosszant
nose,orr
weird,furcsa
death,halál
beat,üt
tone,hangot
trip,utazás
six,hat
control,ellenőrzés
nearly,közel
consider,fontolja meg
gonna,fog
join,csatlakozik
learn,tanul
above,felett
hi,Szia
obviously,nyilvánvalóan
entire,teljes
direction,irány
foot,láb
angry,dühös
power,hatalom
strong,erős
quick,gyors
doctor,orvos
edge,él
song,dal
asleep,alvó
twenty,húsz
barely,alig
remain,marad
child,gyermek
enjoy,élvez
gun,pisztoly
slow,lassú
city,város
broke,eltört
key,kulcsfontosságú
lead,ólom
throat,torok
normal,normál
you'd,te tennéd
somewhere,valahol
wake,ébred
pair,pár
sky,ég
funny,vicces
business,üzleti
student,diák
giggle,kuncogás
bright,fényes
admit,elismerni
jeans,farmer
given,adott
children,gyermekek
store,bolt
sweet,édes
low,alacsony
climb,emelkedés
rub,dörzsölje
apartment,lakás
knee,térd
shoe,cipő
attack,támadás
bedroom,hálószoba
joke,tréfa
spent,költött
situation,helyzet
stuck,megragadt
gently,gyengéden
possible,lehetséges
cell,sejt
mention,említés
silent,csendes
definitely,határozottan
rush,rohanás
hung,lógott
brush,kefe
perhaps,talán
groan,nyögés
ass,szamár
rock,szikla
card,kártya
lose,veszít
blush,elpirul
besides,kívül
crazy,őrült
type,típus
bore,furat
afraid,félt
chase,üldözés
respond,reagál
marry,házasodni
remind,emlékeztet
pack,csomag
daughter,lánya
serious,súlyos
girlfriend,barátnő
mad,őrült
somehow,valahogy
buy,vétel
sent,küldött
tight,szoros
simply,egyszerűen
trust,bizalom
imagine,képzeld el
wind,szél
chuckle,kuncogás
bar,bár
pink,rózsaszín
shove,lök
ball,labda
sight,látvány
drag,húzza
they'd,tették
human,emberi
truth,igazság
share,részesedés
area,terület
concern,vonatkozik
shouldn't,nem kellene
team,csapat
escape,menekülés
mumble,motyog
often,gyakran
search,keresés
apparently,látszólag
attempt,kísérlet
son,fiú
within,belül
band,zenekar
cute,csinos
led,vezetett
memory,memória
anger,harag
fly,repül
paint,festék
bottle,üveg
busy,elfoglalt
comment,megjegyzés
exclaim,felkiált
avoid,elkerül
grow,nő
grey,szürke
mirror,tükör
gasp,zihál
hallway,folyosó
dear,kedves
star,csillag
sick,beteg
cat,macska
counter,ellen
interrupt,megszakítani
none,egyik sem
blink,pislogás
spend,tölt
usual,szokásos
worse,rosszabb
locker,öltözőszekrény
important,fontos
favorite,kedvenc
grip,markolat
TV,tv
ice,jég
pretend,"úgy tenni, mintha"
settle,rendezni
amaze,meghökkent
pop,pop
disappear,eltűnik
carefully,gondosan
train,vonat
stick,bot
guard,őr
teeth,fogak
flash,vaku
uncle,nagybácsi
send,elküld
doubt,kétség
visit,látogatás
nervous,ideges
excite,felizgat
approach,megközelítés
excuse,mentség
fit,illeszkedik
noise,zaj
study,tanulmány
letter,levél
police,rendőrség
eventually,végül is
burn,éget
field,mező
hospital,kórház
tie,nyakkendő
summer,nyári
huh,huh
shift,váltás
self,önmaga
hurry,siet
greet,köszönt
wife,feleség
position,pozíció
we've,megvan
wipe,törölje le
heavy,nehéz
slam,slam
broken,törött
complete,teljes
space,tér
brain,agy
tiny,apró
pants,nadrág
ah,ah
punch,puncs
shower,zuhany
tongue,nyelv
afternoon,délután
seriously,komolyan
cup,csésze
further,további
race,verseny
recognize,felismerni
computer,számítógép
rang,csengett
safe,biztonságos
jacket,kabát
bottom,alsó
hundred,száz
relax,lazíts
sudden,hirtelen
wow,wow
college,főiskola
flip,flip
mood,hangulat
track,pálya
crack,repedés
block,tömb
handle,fogantyú
themselves,maguk
drove,hajtott
seven,hét
struggle,küzdelem
whether,vajon
ahead,előre
sad,szomorú
dry,száraz
women,nők
focus,fókusz
repeat,ismétlés
thick,vastag
relationship,kapcsolat
jerk,bunkó
present,jelenlegi
suck,szív
bell,harang
surround,körülveszik
evening,este
bite,harapás
single,egyetlen
fault,hiba
shadow,árnyék
wood,faipari
easily,könnyen
woke,felébredt
smoke,füst
draw,húzni
suggest,javasolja
wet,nedves
accept,elfogadni
third,harmadik
totally,teljesen
wore,viselt
breakfast,reggeli
trail,nyom
animal,állati
warn,figyelmeztet
aunt,néni
sir,uram
piss,húgy
burst,robbanás
match,mérkőzés
fix,javítani
practically,gyakorlatilag
odd,páratlan
wash,mosás
sing,énekel
inch,hüvelyk
size,méret
secret,titkos
who's,kié
clock,óra
company,vállalat
view,kilátás
suit,öltöny
forever,örökre
familiar,ismerős
forehead,homlok
shoot,lő
grew,nőtt
stretch,nyújtózkodni
pound,font
despite,ellenére
response,válasz
center,központ
curl,becsavar
slight,enyhe
toss,dobás
beneath,alatt
fist,ököl
welcome,üdvözlöm
laughter,nevetés
angel,angyal
Christmas,karácsonyi
we'd,házasodik
main,fő-
simple,egyszerű
neither,sem
distance,távolság
comfort,kényelem
upset,felborít
assume,feltételezzük
eight,nyolc
gather,összegyűjteni
lucky,szerencsés
fade,halványul
Ms.,Ms.
coat,kabát
special,különleges
awkward,kínos
certain,bizonyos
plate,lemez
darkness,sötétség
practice,gyakorlat
obvious,nyilvánvaló
grade,fokozat
cream,krém
choice,választás
hardly,alig
pale,sápadt
thin,vékony
button,gomb
chocolate,csokoládé
refuse,hulladék
slid,csúszott
pillow,párna
thirty,harminc
count,gróf
honestly,őszintén
poor,szegény
motion,mozgás
storm,vihar
lightly,könnyen
nobody,senki
experience,tapasztalat
path,útvonal
period,időszak
dare,merészel
demand,kereslet
comfortable,kényelmes
clearly,egyértelműen
silver,ezüst
peer,egyenrangú
birthday,születésnap
disgust,undor
embarrass,zavarba hozni
bought,vásárolt
test,teszt
lap,körben
bet,tét
loudly,hangosan
driver,sofőr
murmur,moraj
taste,íz
perfectly,tökéletesen
squeeze,présel
board,bizottság
worth,érdemes
fold,hajtogatni
spread,terjedés
crap,szar
emotion,érzelem
subject,téma
pour,önteni
laid,terített
lower,alacsonyabb
mile,mérföld
yea,igen
page,oldalon
pile,halom
snow,hó
message,üzenet
English,angol
scene,színhely
sink,mosogató
fail,nem sikerül
forgot,elfelejtette
hole,lyuk
silently,csendben
heat,hőség
weekend,hétvégi
drew,rajzolt
guitar,gitár
sweat,izzad
unless,hacsak nem
cloud,felhő
waist,derék
slap,pofon
argue,vitatkozni
grass,fű
idiot,idióta
screen,képernyő
yesterday,tegnap
swear,esküszik
twin,iker
instantly,azonnal
apart,egymástól
narrow,keskeny
opposite,szemben
blow,fúj
wrist,csukló
earth,Föld
action,akció
circle,kör
forgotten,elfelejtett
list,lista
closet,szekrény
drunk,részeg
shape,alak
yellow,sárga
twist,csavar
weight,súly
smart,okos
it'll,az lesz
treat,élvezet
pool,medence
prepare,készít
awake,ébren
certainly,biztosan
tease,kötekedik
contact,érintkezés
slide,csúszik
wonderful,csodálatos
bitch,kurva
reveal,felfedni
swing,hinta
truck,teherautó
anywhere,bárhol
flower,virág
upstairs,emeleten
hers,az övé
itself,maga
wander,vándorol
downstairs,földszint
football,futball
possibly,esetleg
rip,hasítás
forest,erdő
mostly,többnyire
bloody,véres
church,templom
gay,meleg
stone,kő
husband,férj
sex,szex
trick,trükk
yours,a tiéd
growl,morgás
club,klub
Friday,péntek
stage,színpadon
include,tartalmazza
sip,korty
invite,meghív
sharp,éles
convince,meggyőzni
sheet,lap
absolutely,teljesen
orange,narancs
relief,megkönnyebbülés
apologize,bocsánatot kérni
art,művészet
he'll,pokol
remove,távolítsa el
crash,összeomlik
van,furgon
curse,átok
alive,élő
blanket,takaró
receive,kap
tip,tipp
rise,emelkedik
tightly,szorosan
waste,hulladék
bowl,tál
fallen,elesett
river,folyó
mama,mama
pace,ütemben
honey,méz
swallow,nyelés
king,király
camera,kamera
deserve,megérdemlik
dirty,piszkos
chin,áll
doorway,ajtónyílás
image,kép
cookie,süti
homework,házi feladat
hat,kalap
luck,szerencse
aside,félre
information,információ
fifteen,tizenöt
fair,igazságos
player,játékos
monster,szörnyeteg
gate,kapu
win,győzelem
below,alatt
ceiling,mennyezet
click,kattintson
cook,szakács
travel,utazási
fish,hal
lit,megvilágított
nervously,idegesen
towel,törülköző
shiver,reszket
final,végső
horrible,szörnyű
station,állomás
camp,tábor
hungry,éhes
thousand,ezer
evil,gonosz
rich,gazdag
war,háború
involve,bevonni
jaw,állkapocs
uncomfortable,kényelmetlen
directly,közvetlenül
level,szint
double,kettős
nine,kilenc
creature,teremtmény
glow,izzás
somewhat,némileg
blame,hibáztatni
entrance,bejárat
hip,csípő
fresh,friss
hiss,sziszegés
normally,normálisan
tap,csap
machine,gép
ruin,rom
bear,medve
rule,szabály
till,amíg
cock,kakas
stumble,botlás
complain,panaszkodik
everybody,mindenki
truly,valóban
nurse,nővér
speed,sebesség
hmm,hmm
panic,pánik
smooth,sima
weak,gyenge
good-bye,búcsú
would've,volna
extra,külön-
gesture,gesztus
scowl,elkomorul
beer,sör
release,kiadás
country,ország
officer,tisztviselő
careful,óvatos
create,teremt
hill,hegy
snort,horkant
flew,repült
heel,sarok
brow,szemöldök
charge,díj
flat,lakás
plus,plusz
switch,kapcsoló
whenever,bármikor
drift,sodródás
metal,fém
discover,felfedezni
wheel,kerék
skirt,szoknya
pat,pat
ate,evett
tea,tea
hotel,szálloda
sob,zokogás
future,jövőbeli
record,rekord
boot,csomagtartó
likely,valószínűleg
cheer,éljenzés
gold,arany
prove,bizonyítani
ha,Ha
twice,kétszer
aware,tudatában van
lack,hiánya
princess,hercegnő
bench,pad
cousin,unokatestvér
detail,részlet
amount,összeg
bird,madár
backward,hátrafelé
crush,összetörni
cigarette,cigaretta
faint,elájul
belong,tartozik
stranger,idegen
beach,strand
load,terhelés
everywhere,mindenhol
scratch,karcolás
history,történelem
restaurant,étterem
event,esemény
extremely,rendkívül
widen,szélesíteni
clutch,kuplung
due,esedékes
tug,rántás
beyond,túl
happily,boldogan
mistake,hiba
palm,tenyér
amuse,szórakoztat
guest,vendég
Saturday,szombat
wooden,fa
worst,legrosszabb
exit,kijárat
plastic,műanyag
reality,valóság
wince,összerezzen
announce,bejelenteni
gotta,muszáj
slept,aludt
she'll,héj
member,tag
choose,válasszon
Dr.,Dr.
swim,úszás
alarm,riasztás
crawl,kúszni
dollar,dollár
knife,kés
magic,mágikus
paid,fizetett
pizza,pizza
purse,pénztárca
gift,ajándék
chicken,csirke
plane,repülőgép
choke,fojtás
screw,csavar
protest,tiltakozás
base,bázis
drug,kábítószer
introduce,bevezetni
sleeve,ujj
movement,mozgás
loose,laza
bare,csupasz
wanna,akarom
difficult,nehéz
frame,keret
spin,spin
fake,hamisítvány
pen,toll
understood,értett
nor,sem
unfortunately,sajnos
written,írott
decision,döntés
beg,könyörög
heavily,súlyosan
insist,ragaszkodni
soul,lélek
random,véletlen
sport,sport
male,férfi
urge,késztetést
million,millió
yawn,ásít
backpack,hátizsák
judge,bíró
startle,megijeszt
bunch,csokor
stream,folyam
they'll,fognak
muscle,izom
yard,udvar
accident,baleset
dragon,sárkány
sentence,mondat
fool,bolond
torn,szakadt
bow,íj
echo,visszhang
mix,keverék
bury,temetni
system,rendszer
dirt,piszok
spirit,szellem
leaf,levél növényen
protect,védeni
row,sor
forth,tovább
purple,lila
bang,bumm
curious,kíváncsi
nearby,közeli
nowhere,sehol
collapse,összeomlás
hop,komló
proud,büszke
wing,szárny
destroy,elpusztítani
sea,tenger
separate,különálló
silly,buta
wound,seb
honest,becsületes
battle,csata
born,született
cough,köhögés
mountain,hegy
split,hasított
square,négyzet
underneath,alul
bike,bicikli
process,folyamat
somebody,valaki
classroom,tanterem
presence,jelenlét
whose,akinek
grown,felnőtt
hidden,rejtett
serve,szolgál
female,női
garden,kert
meal,étkezés
unable,képtelen
elbow,könyök
support,támogatás
bridge,híd
reaction,reakció
skip,kihagyni
wild,vad
angrily,mérgesen
effect,hatás
threaten,fenyeget
basically,alapvetően
smack,csettint
stroke,stroke
flow,folyik
moan,nyögés
plant,növény
impossible,lehetetlen
bruise,zúzódás
disappoint,csalódást okozni
energy,energia
relieve,enyhíteni
confusion,zavar
wedding,esküvő
fat,zsír
bill,számla
dude,haver
address,cím
cast,öntvény
naked,meztelen
toy,játék
math,matematika
personal,személyes
ship,hajó
spun,fonott
chat,csevegés
pray,imádkozik
whip,ostor
grasp,felfogni
hasn't,még nem
float,úszó
fully,teljesen
gorgeous,nagyszerű
indeed,valóban
nail,köröm
vision,látomás
innocent,ártatlan
friendly,barátságos
jealous,féltékeny
swung,lendült
flame,láng
dorm,kollégium
driveway,műút
spill,bukás
gang,banda
murder,gyilkosság
respect,tisztelet
bent,hajlott
tail,farok
inform,tájékoztatni
lesson,lecke
whine,nyafog
clench,összeerősít
excitement,izgalom
library,könyvtár
lord,lord
surface,felület
dust,por
dump,szemétlerakás
feature,jellemzője
object,objektum
weapon,fegyver
calmly,nyugodtan
hesitate,habozzon
hint,célzás
law,törvény
magazine,magazin
among,között
boss,főnök
file,fájlt
leather,bőr
result,eredmény
thrown,dobott
toe,lábujj
terrible,szörnyű
local,helyi
project,projektet
won,won
radio,rádió
regret,megbánás
grumble,morog
otherwise,egyébként
ridiculous,nevetséges
CD,CD
lovely,bájos
mock,gúny
effort,erőfeszítés
fan,ventilátor
nerve,ideg
report,jelentés
stall,istálló
elevator,lift
mate,társ
bastard,fattyú
grunt,röfög
o'clock,órakor
rope,kötél
entirely,teljesen
frighten,megijeszteni
shade,árnyék
strength,erő
bone,csont
exchange,csere
flight,repülési
Monday,hétfő
partner,partner
plain,egyszerű
shine,ragyog
cafeteria,büfé
beam,gerenda
exist,létezik
porch,veranda
queen,királynő
squeal,visítás
faith,hit
pierce,átszúrni
remark,megjegyzés
content,tartalom
ease,könnyedség
flick,fricska
mall,bevásárlóközpont
cannot,nem lehet
carpet,szőnyeg
length,hossz
replace,cserélje ki
duck,kacsa
bump,ütődés
common,közös
style,stílus
tan,cserszínű
cake,torta
court,bíróság
previous,előző
balance,egyensúly
bank,bank
blind,vak
dangerous,veszélyes
particular,különös
sell,elad
wrote,írt
distract,elvonja a figyelmet
melt,olvad
popular,népszerű
social,szociális
teach,tanít
appearance,megjelenés
correct,helyes
lake,tó
public,nyilvános
sarcastically,gúnyosan
guilty,bűnös
kinda,valahogy
shall,kell
television,televízió
boat,hajó
firmly,határozottan
tent,sátor
thumb,hüvelykujj
manner,módon
flush,flush
roof,tető
schedule,menetrend
dine,vacsorázni
weather,időjárás
casually,véletlenül
moon,hold
difference,különbség
butt,csikk
charm,báj
feed,takarmány
frustration,csalódottság
gentle,kedves
hook,horog
bounce,ugrál
particularly,különösen
pleasure,öröm
sneak,settenkedik
leader,vezető
rage,harag
shriek,sikoly
suffer,szenved
Sunday,vasárnap
argument,érv
pregnant,terhes
discuss,megbeszélni
statement,nyilatkozat
ticket,jegy
dig,dig
doll,baba
chill,hideg
fence,kerítés
horror,borzalom
built,épült
cop,zsaru
security,biztonság
sidewalk,járda
breast,mell
curtain,függöny
whom,kit
fifty,ötven
giant,óriás
milk,tej
recall,visszahívás
term,kifejezést
footstep,lépés
stun,elkábítani
tuck,tuck
clothing,ruházat
lick,nyalás
joy,öröm
ugly,csúnya
hopefully,remélhetőleg
soldier,katona
plead,könyörögni
struck,ütött
trap,csapda
opinion,vélemény
plenty,bőven
tank,tartály
breeze,szellő
awesome,döbbenetes
desire,vágy
roommate,szobatárs
halfway,félúton
opportunity,lehetőséget
outfit,felszerelés
rough,durva
ain't,nem
beauty,szépség
chose,választotta
snake,kígyó
tape,szalag
badly,rosszul
cheat,csal
daddy,apu
roar,ordít
describe,leírni
desperately,kétségbeesetten
height,magasság
thigh,comb
tilt,dönthető
deeply,mélységesen
friendship,barátság
winter,téli
witch,boszorkány
worn,kopott
condition,állapot
enemy,ellenség
golden,aranysárga
sofa,pamlag
master,fő-
rude,durva
throughout,végig
assure,biztosítsa
damage,kár
natural,természetes
steal,lop
belt,öv
cage,ketrec
claim,követelés
nightmare,lidércnyomás
prefer,inkább
purpose,cél
merely,csupán
pin,pin
French,francia
sadly,szomorúan
uniform,egyenruha
branch,ág
direct,közvetlen
hunter,vadász
juice,lé
character,karakter
pure,tiszta
stain,folt
various,különféle
gain,nyereség
soak,áztatás
lately,utóbbi időben
pitch,hangmagasság
accent,hangsúly
they've,megvannak
tremble,remeg
cabin,kabin
chew,rágás
physical,fizikai
puzzle,rejtvény
explode,felrobban
steady,állandó
how's,hogy van
pet,kedvenc
sake,kedvéért
compare,összehasonlítani
principal,fő
scan,letapogatás
forty,negyven
impress,lenyűgözni
mentally,szellemileg
react,reagál
sandwich,szendvics
shy,félénk
twelve,tizenkét
whilst,míg
bullet,golyó
challenge,kihívás
command,parancs
examine,megvizsgálni
film,film
appreciate,értékelni
tense,feszült
blank,üres
blew,fújt
fought,harcolt
gym,tornaterem
passenger,utas
teenager,tizenéves
dish,tál
drawn,húzott
scary,ijedős
unlike,ellentétben
straighten,kiegyenesedik
strain,törzs
tune,dallam
constantly,állandóan
famous,híres
marriage,házasság
bound,köteles
fancy,képzelet
issue,kérdés
warmth,melegség
awhile,egy ideig
collect,gyűjt
concentrate,sűrítmény
copy,másolat
disbelief,hitetlenség
tighten,meghúzni
determine,határozzák meg
favor,szívességet
mental,szellemi
bush,bokor
forgive,megbocsát
aim,cél
embrace,ölelés
fairly,meglehetősen
froze,megfagyott
insult,sértés
option,opció
post,hozzászólás
resist,ellenáll
spoken,beszélt
apple,alma
general,általános
instant,azonnali
jeep,dzsip
emerge,előjönnek
neighbor,szomszéd
pressure,nyomás
service,szolgáltatás
shuffle,keverés
briefly,röviden
notebook,jegyzetfüzet
peace,béke
string,húr
wine,bor
dash,gondolatjel
gut,belek
stress,feszültség
connect,csatlakozni
language,nyelv
private,magán
spring,tavaszi
chip,chip
puppy,kölyökkutya
ache,fájdalom
desperate,kétségbeesett
habit,szokás
necessary,szükséges
nope,dehogy
pencil,ceruza
satisfy,kielégíteni
deny,tagadni
mommy,anyuci
attitude,hozzáállás
dial,tárcsa
painful,fájdalmas
display,kijelző
frustrate,meghiúsítani
it'd,ez volt
tend,hajlamosak
exact,pontos
powerful,erős
nature,természet
photo,fénykép
total,teljes
video,videó
egg,tojás
occur,előfordulnak
anybody,bárki
corridor,folyosó
gulp,korty
trace,nyom
whoever,bárki
brief,rövid
